team,size,age,foreigners,value
Bayern Munich,32,26.2,15,€784.88m
Borussia Dortmund,34,24.9,21,€643.25m
RB Leipzig,34,23,22,€479.00m
Bayer 04 Leverkusen,31,25.1,16,€429.40m
TSG 1899 Hoffenheim,38,24.9,23,€336.25m
Eintracht Frankfurt,47,25.4,29,€313.40m
Borussia Mönchengladbach,30,25.7,16,€264.30m
VfL Wolfsburg,36,25.5,23,€229.25m
FC Schalke 04,39,25.6,24,€221.30m
Hertha BSC,36,24.9,20,€207.63m
SV Werder Bremen,33,26.2,18,€168.05m
1.FSV Mainz 05,35,25.3,20,€159.73m
VfB Stuttgart,34,25.4,17,€143.75m
FC Augsburg,40,25.4,20,€139.25m
SC Freiburg,34,25.5,8,€122.10m
Fortuna Düsseldorf,34,26.7,17,€94.95m
Hannover 96,37,26.2,18,€91.43m
1.FC Nuremberg,29,25.7,12,€54.40m
