team,size,age,foreigners,value
Bayern Munich,38,25.2,21,€790.33m
Borussia Dortmund,44,24.5,25,€558.98m
RB Leipzig,34,24.3,23,€498.95m
Bayer 04 Leverkusen,35,25.1,25,€455.05m
VfL Wolfsburg,37,25.7,24,€269.30m
Borussia Mönchengladbach,31,25.8,13,€236.80m
Eintracht Frankfurt,36,25.7,23,€228.75m
TSG 1899 Hoffenheim,40,25.3,22,€211.43m
SC Freiburg,32,25.5,12,€176.35m
VfB Stuttgart,39,24,22,€174.23m
Hertha BSC,45,25.2,22,€155.78m
1.FSV Mainz 05,34,25.5,18,€131.03m
1.FC Union Berlin,40,27.1,16,€115.90m
1.FC Köln,31,25.8,13,€99.28m
FC Augsburg,32,26,19,€95.30m
Arminia Bielefeld,34,25.1,20,€65.85m
VfL Bochum,33,27.7,17,€52.25m
SpVgg Greuther Fürth,34,25.1,16,€36.95m
